Order ID,Order Date,Ship Date,Ship Mode,Segment,Continent,Country,Region,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
GB-2025-10075,2/28/2025,3/5/2025,Standard Class,Home Office,North America,United States,West,Washington,Seattle,Technology,Machines,2673.6,3,0,481.25
GB-2024-10076,12/6/2024,12/11/2024,Standard Class,Home Office,Europe,Germany,North,Berlin,Berlin,Technology,Machines,5366.44,4,0,965.96
GB-2024-10077,11/21/2024,11/24/2024,Second Class,Home Office,South America,Brazil,South,Paraná,Curitiba,Office Supplies,Paper,52.68,3,0,21.07
GB-2024-10078,4/12/2024,4/14/2024,First Class,Corporate,North America,Canada,East,Ontario,Toronto,Office Supplies,Binders,24.54,2,0.5,3.68
GB-2024-10079,12/12/2024,12/15/2024,Second Class,Corporate,Asia,Japan,Kansai,Osaka,Osaka,Technology,Machines,3955.41,9,0,711.97
GB-2025-10080,10/8/2025,10/11/2025,Second Class,Corporate,Africa,South Africa,Western Cape,Western Cape,Cape Town,Technology,Phones,2664.72,8,0,532.94
GB-2024-10081,1/30/2024,2/4/2024,Standard Class,Consumer,North America,Canada,West,British Columbia,Vancouver,Furniture,Furnishings,75.9,3,0,18.98
GB-2025-10082,1/26/2025,1/29/2025,Second Class,Consumer,Europe,United Kingdom,South,England,London,Technology,Accessories,425.52,8,0,170.21
GB-2026-10083,4/3/2026,4/8/2026,Standard Class,Corporate,Asia,India,North,Delhi,New Delhi,Office Supplies,Art,129.5,7,0,38.85
GB-2024-10084,11/5/2024,11/10/2024,Standard Class,Corporate,South America,Brazil,Southeast,Rio de Janeiro,Rio de Janeiro,Technology,Accessories,745.25,5,0,298.1
GB-2026-10085,4/29/2026,5/2/2026,Second Class,Corporate,North America,United States,West,Washington,Seattle,Furniture,Bookcases,1047.56,4,0.1,10.48
GB-2025-10086,11/25/2025,11/28/2025,Second Class,Home Office,Asia,India,North,Delhi,New Delhi,Office Supplies,Envelopes,12.32,1,0.1,3.57
GB-2024-10087,4/2/2024,4/4/2024,First Class,Corporate,Asia,India,West,Maharashtra,Mumbai,Technology,Accessories,767.07,9,0,306.83
GB-2024-10088,6/17/2024,6/22/2024,Standard Class,Corporate,Africa,South Africa,Western Cape,Western Cape,Cape Town,Office Supplies,Paper,71.55,3,0,28.62
GB-2025-10089,11/23/2025,11/26/2025,Second Class,Corporate,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Furniture,Bookcases,1233.72,9,0,61.69
GB-2026-10090,2/5/2026,2/8/2026,Second Class,Home Office,Europe,Germany,North,Berlin,Berlin,Office Supplies,Paper,106.92,9,0.1,36.35
GB-2025-10091,10/25/2025,10/30/2025,Standard Class,Corporate,South America,Brazil,South,Paraná,Curitiba,Furniture,Chairs,241.31,1,0,36.2
GB-2024-10092,4/9/2024,4/14/2024,Standard Class,Home Office,North America,Canada,West,British Columbia,Vancouver,Technology,Copiers,8494.58,7,0.2,1953.75
GB-2025-10093,9/22/2025,9/27/2025,Standard Class,Corporate,North America,Canada,East,Ontario,Toronto,Office Supplies,Binders,36.56,6,0.1,14.26
GB-2025-10094,7/11/2025,7/13/2025,First Class,Home Office,Europe,Germany,South,Bavaria,Munich,Furniture,Furnishings,125.37,2,0.1,23.82
GB-2025-10095,9/3/2025,9/3/2025,Same Day,Consumer,Asia,India,West,Maharashtra,Mumbai,Furniture,Tables,2788.72,4,0,278.87
GB-2026-10096,3/3/2026,3/8/2026,Standard Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Furniture,Chairs,189.54,1,0,28.43
GB-2026-10097,3/18/2026,3/23/2026,Standard Class,Corporate,North America,Canada,East,Ontario,Toronto,Technology,Machines,4725.09,9,0,850.52
GB-2025-10098,4/4/2025,4/7/2025,Second Class,Home Office,Oceania,Australia,East,New South Wales,Sydney,Technology,Accessories,829.04,8,0,331.62
GB-2025-10099,5/5/2025,5/7/2025,First Class,Corporate,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Bookcases,359.1,3,0,17.96
GB-2025-10100,10/10/2025,10/15/2025,Standard Class,Home Office,Europe,Germany,South,Bavaria,Munich,Furniture,Chairs,3296.25,9,0,494.44
GB-2025-10101,4/7/2025,4/9/2025,First Class,Corporate,Europe,Germany,South,Bavaria,Munich,Technology,Phones,2923.61,6,0.1,409.31
GB-2025-10102,1/18/2025,1/18/2025,Same Day,Home Office,South America,Brazil,Southeast,São Paulo,São Paulo,Furniture,Furnishings,154.02,2,0,38.51
GB-2024-10103,5/13/2024,5/18/2024,Standard Class,Home Office,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Office Supplies,Envelopes,17.58,1,0.1,5.1
GB-2024-10104,12/26/2024,12/31/2024,Standard Class,Home Office,North America,Canada,East,Ontario,Toronto,Office Supplies,Art,40.02,2,0,12.01
GB-2026-10105,4/6/2026,4/11/2026,Standard Class,Home Office,Africa,South Africa,Western Cape,Western Cape,Cape Town,Furniture,Bookcases,1882.3,5,0,94.12
GB-2024-10106,7/4/2024,7/6/2024,First Class,Home Office,Asia,India,West,Maharashtra,Mumbai,Furniture,Tables,3366.37,7,0,336.64
GB-2025-10107,1/13/2025,1/18/2025,Standard Class,Corporate,Asia,India,North,Delhi,New Delhi,Furniture,Chairs,416.93,2,0.1,37.52
GB-2025-10108,5/12/2025,5/15/2025,Second Class,Corporate,North America,United States,West,Washington,Seattle,Furniture,Bookcases,2064.64,8,0,103.23
GB-2024-10109,8/13/2024,8/18/2024,Standard Class,Home Office,North America,United States,West,California,Los Angeles,Furniture,Bookcases,992.2,5,0,49.61
GB-2026-10110,2/3/2026,2/8/2026,Standard Class,Consumer,Europe,United Kingdom,North,Scotland,Edinburgh,Office Supplies,Paper,19.14,7,0.5,1.91
GB-2024-10111,11/16/2024,11/21/2024,Standard Class,Home Office,Europe,Germany,South,Bavaria,Munich,Office Supplies,Paper,27.9,6,0.5,2.79
GB-2025-10112,4/16/2025,4/18/2025,First Class,Corporate,North America,United States,East,Pennsylvania,Philadelphia,Technology,Machines,3502.87,9,0.2,1050.86
GB-2026-10113,2/2/2026,2/7/2026,Standard Class,Corporate,Asia,India,North,Delhi,New Delhi,Office Supplies,Art,26.88,3,0,8.06
GB-2024-10114,7/21/2024,7/26/2024,Standard Class,Consumer,Asia,India,West,Maharashtra,Mumbai,Office Supplies,Envelopes,96.98,6,0.1,28.12
GB-2024-10115,6/3/2024,6/8/2024,Standard Class,Corporate,Europe,Germany,South,Bavaria,Munich,Office Supplies,Paper,82.7,5,0,33.08
GB-2025-10116,1/12/2025,1/14/2025,First Class,Consumer,Asia,India,East,West Bengal,Kolkata,Technology,Phones,7417.92,8,0,1483.58
GB-2024-10117,7/11/2024,7/16/2024,Standard Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Office Supplies,Paper,190.35,9,0,76.14
GB-2025-10118,12/25/2025,12/30/2025,Standard Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Office Supplies,Envelopes,104.71,7,0.1,30.37
GB-2024-10119,2/23/2024,2/26/2024,Second Class,Home Office,Europe,Germany,North,Berlin,Berlin,Office Supplies,Art,33,3,0,9.9
GB-2024-10120,5/24/2024,5/26/2024,First Class,Corporate,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Office Supplies,Envelopes,92.88,6,0.1,26.94
GB-2026-10121,4/28/2026,4/30/2026,First Class,Home Office,South America,Brazil,South,Paraná,Curitiba,Furniture,Bookcases,770.4,5,0,38.52
GB-2026-10122,2/23/2026,2/28/2026,Standard Class,Consumer,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Furniture,Chairs,2229.77,6,0.1,200.68
GB-2025-10123,9/3/2025,9/8/2025,Standard Class,Consumer,North America,United States,West,California,Los Angeles,Office Supplies,Art,87.7,4,0.1,21.05
GB-2026-10124,2/9/2026,2/12/2026,Second Class,Corporate,North America,United States,West,Washington,Seattle,Furniture,Bookcases,1908,8,0,95.4
GB-2025-10125,1/26/2025,1/31/2025,Standard Class,Corporate,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Furniture,Furnishings,359.46,6,0,89.86
GB-2025-10126,6/12/2025,6/14/2025,First Class,Corporate,North America,United States,West,Washington,Seattle,Technology,Copiers,2549.4,7,0.5,127.47
GB-2026-10127,4/16/2026,4/21/2026,Standard Class,Corporate,South America,Brazil,Southeast,Rio de Janeiro,Rio de Janeiro,Technology,Accessories,280.8,4,0,112.32
GB-2024-10128,8/17/2024,8/22/2024,Standard Class,Consumer,Asia,Japan,Kanto,Tokyo,Tokyo,Furniture,Bookcases,2470.56,8,0,123.53
GB-2025-10129,12/23/2025,12/28/2025,Standard Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Furniture,Tables,6213.67,9,0.1,994.19
GB-2025-10130,3/9/2025,3/14/2025,Standard Class,Corporate,North America,United States,East,New York,New York,Office Supplies,Envelopes,6.66,2,0.5,0.33
GB-2025-10131,9/3/2025,9/8/2025,Standard Class,Home Office,Oceania,Australia,East,New South Wales,Sydney,Office Supplies,Paper,66.06,6,0,26.42
GB-2025-10132,11/11/2025,11/14/2025,Second Class,Home Office,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Office Supplies,Paper,206.71,7,0,82.68
GB-2024-10133,1/17/2024,1/22/2024,Standard Class,Consumer,Europe,United Kingdom,North,Scotland,Edinburgh,Furniture,Bookcases,1632.64,9,0.1,16.33
GB-2026-10134,4/30/2026,5/3/2026,Second Class,Corporate,Africa,South Africa,Gauteng,Gauteng,Johannesburg,Furniture,Furnishings,36.41,1,0,9.1
GB-2024-10135,7/23/2024,7/25/2024,First Class,Corporate,South America,Brazil,South,Paraná,Curitiba,Furniture,Tables,2008.53,5,0.1,321.36
GB-2025-10136,11/2/2025,11/7/2025,Standard Class,Consumer,Asia,Japan,Kansai,Osaka,Osaka,Office Supplies,Art,43.26,3,0,12.98
GB-2026-10137,3/27/2026,4/1/2026,Standard Class,Consumer,Asia,India,East,West Bengal,Kolkata,Technology,Accessories,200.04,6,0,80.02
GB-2024-10138,10/29/2024,11/3/2024,Standard Class,Home Office,Asia,India,East,West Bengal,Kolkata,Office Supplies,Paper,122.22,6,0,48.89
GB-2025-10139,10/16/2025,10/16/2025,Same Day,Consumer,North America,Canada,West,British Columbia,Vancouver,Furniture,Tables,2153.12,8,0,215.31
GB-2026-10140,3/8/2026,3/11/2026,Second Class,Corporate,Europe,United Kingdom,South,England,London,Office Supplies,Art,160.16,8,0,48.05
GB-2025-10141,6/26/2025,7/1/2025,Standard Class,Corporate,Asia,India,North,Delhi,New Delhi,Technology,Copiers,5299.36,8,0.5,264.97
GB-2024-10142,4/30/2024,5/5/2024,Standard Class,Corporate,Asia,India,South,Tamil Nadu,Chennai,Furniture,Chairs,1217.55,3,0,182.63
GB-2025-10143,12/31/2025,1/5/2026,Standard Class,Consumer,Asia,Japan,Kansai,Osaka,Osaka,Technology,Accessories,588.06,5,0.1,199.94
GB-2025-10144,12/18/2025,12/21/2025,Second Class,Corporate,Oceania,Australia,East,New South Wales,Sydney,Furniture,Furnishings,42.48,1,0,10.62
GB-2025-10145,4/23/2025,4/25/2025,First Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,100.44,9,0,35.15
GB-2025-10146,8/11/2025,8/16/2025,Standard Class,Corporate,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Tables,731.91,3,0.5,292.76
GB-2024-10147,2/26/2024,2/28/2024,First Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Technology,Copiers,11558.88,6,0,4045.61
GB-2024-10148,10/17/2024,10/19/2024,First Class,Corporate,North America,Canada,East,Ontario,Toronto,Technology,Phones,6415.11,9,0,1283.02
GB-2025-10149,8/17/2025,8/22/2025,Standard Class,Home Office,Asia,Japan,Kanto,Tokyo,Tokyo,Furniture,Chairs,1554.03,5,0.1,139.86
GB-2025-10150,3/2/2025,3/5/2025,Second Class,Consumer,Europe,Germany,South,Bavaria,Munich,Furniture,Furnishings,228.69,5,0.1,43.45
GB-2024-10151,6/10/2024,6/15/2024,Standard Class,Corporate,Europe,Germany,North,Berlin,Berlin,Technology,Accessories,880.8,6,0,352.32
GB-2025-10152,1/14/2025,1/19/2025,Standard Class,Consumer,Europe,Germany,North,Berlin,Berlin,Office Supplies,Binders,19.95,3,0,8.98
GB-2025-10153,1/28/2025,1/30/2025,First Class,Corporate,North America,United States,West,Washington,Seattle,Furniture,Tables,6382.24,8,0,638.22
GB-2024-10154,11/11/2024,11/16/2024,Standard Class,Consumer,South America,Brazil,Southeast,São Paulo,São Paulo,Technology,Accessories,26.57,1,0,10.63
GB-2025-10155,10/31/2025,11/3/2025,Second Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Office Supplies,Art,81.76,7,0,24.53
GB-2025-10156,8/6/2025,8/11/2025,Standard Class,Corporate,Oceania,Australia,West,Western Australia,Perth,Technology,Accessories,73.46,2,0,29.38
GB-2025-10157,1/17/2025,1/20/2025,Second Class,Corporate,Oceania,Australia,East,New South Wales,Sydney,Technology,Machines,3998.52,9,0,719.73
GB-2025-10158,12/31/2025,1/5/2026,Standard Class,Corporate,Oceania,Australia,East,New South Wales,Sydney,Technology,Accessories,191.92,3,0.1,65.25
GB-2024-10159,11/2/2024,11/7/2024,Standard Class,Home Office,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Bookcases,906.42,6,0.5,226.6
GB-2025-10160,8/20/2025,8/25/2025,Standard Class,Home Office,South America,Brazil,South,Paraná,Curitiba,Technology,Copiers,1416.93,1,0,495.93
GB-2025-10161,10/6/2025,10/9/2025,Second Class,Corporate,North America,United States,East,New York,New York,Furniture,Chairs,1952.88,8,0,292.93
GB-2025-10162,12/8/2025,12/13/2025,Standard Class,Home Office,Asia,Japan,Kanto,Tokyo,Tokyo,Technology,Copiers,8546.07,9,0.1,2478.36
GB-2025-10163,6/22/2025,6/27/2025,Standard Class,Consumer,Europe,Germany,South,Bavaria,Munich,Technology,Machines,5812.28,4,0,1046.21
GB-2024-10164,11/1/2024,11/6/2024,Standard Class,Corporate,Asia,India,East,West Bengal,Kolkata,Office Supplies,Art,191.24,9,0.1,45.9
GB-2024-10165,10/7/2024,10/12/2024,Standard Class,Home Office,Asia,Japan,Kansai,Osaka,Osaka,Furniture,Bookcases,167.66,1,0.1,1.68
GB-2024-10166,12/20/2024,12/22/2024,First Class,Home Office,North America,Canada,East,Ontario,Toronto,Technology,Accessories,994.5,9,0,397.8
GB-2025-10167,9/22/2025,9/25/2025,Second Class,Consumer,North America,United States,East,New York,New York,Furniture,Furnishings,447.36,6,0,111.84
GB-2026-10168,2/28/2026,3/5/2026,Standard Class,Home Office,Africa,South Africa,Western Cape,Western Cape,Cape Town,Office Supplies,Binders,78.39,5,0.1,30.57
GB-2026-10169,2/26/2026,3/3/2026,Standard Class,Home Office,North America,United States,East,Pennsylvania,Philadelphia,Furniture,Chairs,2704.73,7,0,405.71
GB-2026-10170,2/5/2026,2/5/2026,Same Day,Corporate,South America,Brazil,South,Paraná,Curitiba,Office Supplies,Art,198.16,8,0,59.45
GB-2025-10171,5/20/2025,5/22/2025,First Class,Consumer,South America,Brazil,South,Paraná,Curitiba,Furniture,Bookcases,862.22,3,0.1,8.62
GB-2026-10172,1/5/2026,1/10/2026,Standard Class,Home Office,Europe,Germany,North,Berlin,Berlin,Technology,Machines,6767.67,7,0,1218.18
GB-2025-10173,11/16/2025,11/21/2025,Standard Class,Consumer,Europe,United Kingdom,South,England,London,Office Supplies,Binders,152.72,8,0.5,22.91
GB-2024-10174,11/5/2024,11/10/2024,Standard Class,Home Office,North America,Canada,East,Ontario,Toronto,Technology,Phones,3563.6,8,0,712.72
GB-2025-10175,5/29/2025,5/31/2025,First Class,Home Office,Asia,India,South,Tamil Nadu,Chennai,Technology,Copiers,7761.2,4,0,2716.42
GB-2025-10176,4/10/2025,4/13/2025,Second Class,Home Office,Europe,Germany,North,Berlin,Berlin,Technology,Phones,4514.94,9,0.1,632.09
GB-2024-10177,3/20/2024,3/22/2024,First Class,Consumer,North America,United States,East,New York,New York,Office Supplies,Envelopes,27.36,2,0.1,7.93
